Drug,Disease,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClusteringCoefficient,RandomWalkCentrality,PhaseSuccess,PHASE2,PHASE3,PHASE4
exenatide,"diabetes mellitus, type 2",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,1,0
insulin glargine,"diabetes mellitus, type 2",0.2675086107921929,0.0568818876651312,0.0019265878138055,0.4971881012283557,0.0026099558695573,1,0,1,0
insulin glargine,"diabetes mellitus, type 2",0.2675086107921929,0.0568818876651312,0.0019265878138055,0.4971881012283557,0.0026099558695573,1,0,1,0
exenatide,"diabetes mellitus, type 2",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,1,0
eplerenone,insulin resistance,0.2146957520091848,0.0500053274330875,0.0003725338766275,0.6561439825196941,0.0018070533401105,0,0,0,1
eplerenone,hypertension,0.2146957520091848,0.0500053274330875,0.0003725338766275,0.6561439825196941,0.0018070533401105,0,0,0,1
insulin,"diabetes mellitus, type 1",0.2594718714121699,0.0583076999877317,0.0019471970920631,0.5212979351032448,0.0021938751287326,1,0,0,1
sitagliptin phosphate,"diabetes mellitus, type 1",0.2881745120551091,0.0605548195301256,0.0026549965724498,0.4600478087649402,0.0029195749618411,1,0,0,1
exenatide,"diabetes mellitus, type 1",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,0,1
liraglutide,polycystic ovary syndrome,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
metformin,polycystic ovary syndrome,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
liraglutide,polycystic ovary syndrome,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
metformin,obesity,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
fondaparinux,venous thrombosis,0.0068886337543053,0.0010865336251309,0.0022434247858848,0.6666666666666666,0.0004064991727869,1,1,0,0
fondaparinux,pulmonary embolism,0.0068886337543053,0.0010865336251309,0.0022434247858848,0.6666666666666666,0.0004064991727869,1,1,0,0
calcitriol,breast neoplasms,0.0711825487944891,0.0129606268920761,4.2343452667690174e-05,0.8799576943416182,0.0005830192185646,1,1,0,0
orlistat,obesity,0.2766934557979334,0.0599804676095111,0.0011370419303196,0.5300484094052559,0.0027475391042044,1,0,0,1
pioglitazone,metabolic syndrome,0.4994259471871412,0.0972644545706885,0.0127482203215867,0.3279728799194872,0.0048170887434955,1,0,0,1
pioglitazone,insulin resistance,0.4994259471871412,0.0972644545706885,0.0127482203215867,0.3279728799194872,0.0048170887434955,1,0,0,1
pioglitazone,prediabetic state,0.4994259471871412,0.0972644545706885,0.0127482203215867,0.3279728799194872,0.0048170887434955,1,0,0,1
inositol,obesity,0.1285878300803674,0.0330177272287335,2.2531982538936444e-05,0.931949806949807,0.0008875288815997,1,0,0,1
inositol,insulin resistance,0.1285878300803674,0.0330177272287335,2.2531982538936444e-05,0.931949806949807,0.0008875288815997,1,0,0,1
inositol,yin deficiency,0.1285878300803674,0.0330177272287335,2.2531982538936444e-05,0.931949806949807,0.0008875288815997,1,0,0,1
topiramate,obesity,0.3880597014925373,0.0764601935746476,0.0067053116839778,0.3909715028181131,0.0036636784701075,1,1,0,0
palonosetron,postoperative nausea and vomiting,0.0218140068886337,0.003575252355813,1.2839131456408916e-06,0.9766081871345028,0.0004109457425678,1,0,0,1
palonosetron,vomiting,0.0218140068886337,0.003575252355813,1.2839131456408916e-06,0.9766081871345028,0.0004109457425678,1,0,0,1
metformin,obesity,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
metformin,insulin resistance,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
metformin,"diabetes mellitus, type 2",0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
exenatide,diabetes mellitus,0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,1,0
exenatide,diabetes mellitus,0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,1,0
propofol,obesity,0.3203214695752009,0.0605934914022657,0.006289599911896,0.3637348185967355,0.0031135023939977,1,0,0,1
propofol,obesity,0.3203214695752009,0.0605934914022657,0.006289599911896,0.3637348185967355,0.0031135023939977,1,0,0,1
propofol,synesthesia,0.3203214695752009,0.0605934914022657,0.006289599911896,0.3637348185967355,0.0031135023939977,1,0,0,1
propofol,synesthesia,0.3203214695752009,0.0605934914022657,0.006289599911896,0.3637348185967355,0.0031135023939977,1,0,0,1
exenatide,parkinson disease,0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,1,0,0
tirzepatide,psoriasis,0.3076923076923077,0.0593919086327827,0.0048981759057073,0.3982894516183129,0.002790417830973,1,0,0,1
liraglutide,"diabetes mellitus, type 2",0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,0,0,0,1
liraglutide,prader-willi syndrome,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,0,0,0,1
exenatide,"shock, septic",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,0,1,0,0
exenatide,inflammation,0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,0,1,0,0
metformin,obesity,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
liraglutide,obesity,0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
methamphetamine,hiv infections,0.1389207807118254,0.0299597300378378,1.310625169662454e-05,0.9754820936639118,0.0008900719306419,1,0,0,1
methamphetamine,amphetamine-related disorders,0.1389207807118254,0.0299597300378378,1.310625169662454e-05,0.9754820936639118,0.0008900719306419,1,0,0,1
